Name,Symbol,Sector
Adobe Inc.,ADBE,Information Technology
Alphabet Inc. (Class A),GOOGL,Communication Services
Amazon.com Inc.,AMZN,Consumer Discretionary
American Airlines Group,AAL,Industrials
Apple Inc.,AAPL,Information Technology
AT&T Inc.,T,Communication Services
Best Buy Co. Inc.,BBY,Consumer Discretionary
Boeing Company,BA,Industrials
Capital One Financial,COF,Financials
Caterpillar Inc.,CAT,Industrials
Chipotle Mexican Grill,CMG,Consumer Discretionary
Coca-Cola Company,KO,Consumer Staples
Costco Wholesale Corp.,COST,Consumer Staples
Domino's Pizza,DPZ,Consumer Discretionary
eBay Inc.,EBAY,Consumer Discretionary
Electronic Arts,EA,Communication Services
Exxon Mobil Corp.,XOM,Energy
Facebook Inc.,FB,Communication Services
FedEx Corporation,FDX,Industrials
Gap Inc.,GPS,Consumer Discretionary
Home Depot,HD,Consumer Discretionary
Kellogg Co.,K,Consumer Staples
Live Nation Entertainment,LYV,Communication Services
McDonald's Corp.,MCD,Consumer Discretionary
MGM Resorts International,MGM,Consumer Discretionary
Nike,NKE,Consumer Discretionary
Northrop Grumman,NOC,Industrials
PepsiCo Inc.,PEP,Consumer Staples
Salesforce.com,CRM,Information Technology
Southwest Airlines,LUV,Industrials
Starbucks Corp.,SBUX,Consumer Discretionary
Target Corp.,TGT,Consumer Discretionary
The Walt Disney Company,DIS,Communication Services
Twitter Inc.,TWTR,Communication Services
Varian Medical Systems,VAR,Health Care
Verizon Communications,VZ,Communication Services
Walmart,WMT,Consumer Staples